Crime ID,Date,Time,City,Location,Latitude,Longitude,Crime Type,Number of Crimes,Number of Arrests,Arrest Made,Severity
C1022,2024-06-02,17:33,Houston,Tina Land,29.7604,-95.3698,Fraud,1,1,Arrest Made,Medium
C1023,2023-07-27,01:57,Tulsa,Diaz Ferry,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1024,2024-01-13,06:42,Kansas City,Albert Crossroad,39.0997,-94.5786,Vandalism,1,0,No Arrest,Low
C1025,2025-04-20,08:57,Dallas,Mcmahon Islands,32.7767,-96.797,Assault,1,0,No Arrest,Medium
C1026,2024-08-04,11:03,Austin,Davis Corner,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1027,2024-08-21,03:42,Dallas,Alexis Freeway,32.7767,-96.797,Robbery,1,1,Arrest Made,High
C1028,2025-02-26,16:36,San Antonio,Howell Divide,29.4241,-98.4936,Burglary,1,2,Arrest Made,Medium
C1029,2024-09-03,04:22,Oklahoma City,Taylor Crossroad,35.4676,-97.5164,Theft,1,2,Arrest Made,Low
C1030,2024-09-09,05:15,Little Rock,Green Meadows,34.7465,-92.2896,Burglary,1,2,Arrest Made,Medium
C1031,2024-04-25,11:50,Houston,Amanda Village,29.7604,-95.3698,Drug Offense,1,1,Arrest Made,Medium
C1032,2024-10-23,00:07,Oklahoma City,Johnson Cliff,35.4676,-97.5164,Burglary,1,1,Arrest Made,Medium
C1033,2023-06-22,22:05,Dallas,Kirsten Fork,32.7767,-96.797,Drug Offense,1,1,Arrest Made,Medium
C1034,2025-04-21,13:01,Kansas City,Brian Parkway,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1035,2024-06-17,03:12,Dallas,Ortiz Crescent,32.7767,-96.797,Fraud,1,2,Arrest Made,Medium
C1036,2024-05-16,15:08,Oklahoma City,Butler Fork,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low
C1037,2024-07-20,20:17,Oklahoma City,Mercer Summit,35.4676,-97.5164,Assault,1,2,Arrest Made,Medium
C1038,2025-04-22,16:26,Tulsa,Johnson Forks,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1039,2023-12-03,05:18,Tulsa,Austin Plains,36.15398,-95.99277,Drug Offense,1,1,Arrest Made,Medium
C1040,2024-12-10,21:20,Dallas,Victoria Manors,32.7767,-96.797,Vandalism,1,0,No Arrest,Low
C1041,2025-01-15,01:44,Austin,Tim Pines,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1042,2024-08-10,00:00,Austin,Anita Cliffs,30.2672,-97.7431,Assault,1,1,Arrest Made,Medium
C1043,2025-02-20,21:49,Houston,Kelly Ports,29.7604,-95.3698,Robbery,1,2,Arrest Made,High
C1044,2024-03-27,07:06,San Antonio,Jose Hollow,29.4241,-98.4936,Burglary,1,1,Arrest Made,Medium
C1045,2023-06-12,07:29,Houston,Hill Coves,29.7604,-95.3698,Theft,1,2,Arrest Made,Low
C1046,2025-04-15,11:42,Austin,Karen Meadows,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1047,2024-05-24,09:50,Houston,Ford Creek,29.7604,-95.3698,Robbery,1,0,No Arrest,High
C1048,2025-04-02,02:07,Tulsa,Nancy Tunnel,36.15398,-95.99277,Robbery,1,1,Arrest Made,High
C1049,2024-06-12,12:31,Austin,Andre Island,30.2672,-97.7431,Assault,1,0,No Arrest,Medium
C1050,2024-01-07,15:26,Kansas City,Jennifer Cliff,39.0997,-94.5786,Robbery,1,0,No Arrest,High
C1051,2023-10-29,17:09,Oklahoma City,Snyder Summit,35.4676,-97.5164,Theft,1,1,Arrest Made,Low
C1052,2025-02-19,07:14,Austin,Adriana Trail,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1053,2023-09-09,07:20,Dallas,Hess Club,32.7767,-96.797,Homicide,1,1,Arrest Made,High
C1054,2023-06-16,18:04,Oklahoma City,Timothy Manor,35.4676,-97.5164,Drug Offense,1,1,Arrest Made,Medium
C1055,2025-01-01,00:45,Kansas City,Lester Drive,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1056,2025-03-18,07:48,Austin,Williams Way,30.2672,-97.7431,Theft,1,2,Arrest Made,Low
C1057,2024-06-06,20:17,Kansas City,Salas Hill,39.0997,-94.5786,Burglary,1,0,No Arrest,Medium
C1058,2023-12-07,15:55,Houston,Richard Mountains,29.7604,-95.3698,Assault,1,2,Arrest Made,Medium
C1059,2024-11-01,21:12,Little Rock,Jennifer Hills,34.7465,-92.2896,Drug Offense,1,0,No Arrest,Medium
C1060,2024-06-22,15:13,San Antonio,Matthews View,29.4241,-98.4936,Burglary,1,0,No Arrest,Medium
C1061,2023-09-25,19:32,Tulsa,Hobbs Mews,36.15398,-95.99277,Assault,1,0,No Arrest,Medium
C1062,2025-02-21,06:02,Dallas,Patrick Isle,32.7767,-96.797,Fraud,1,2,Arrest Made,Medium
C1063,2024-09-16,09:05,Oklahoma City,Denise Manors,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low
C1064,2024-06-10,12:08,Austin,Nichole Squares,30.2672,-97.7431,Vandalism,1,0,No Arrest,Low
C1065,2024-06-22,19:28,San Antonio,Underwood Ridges,29.4241,-98.4936,Robbery,1,1,Arrest Made,High
C1066,2024-02-24,07:07,Austin,Danielle Land,30.2672,-97.7431,Theft,1,0,No Arrest,Low
C1067,2023-09-05,06:23,Oklahoma City,Duncan Run,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low
C1068,2023-08-16,00:46,Dallas,Webster Extension,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low
C1069,2024-06-04,16:10,Houston,Zachary Path,29.7604,-95.3698,Theft,1,1,Arrest Made,Low
C1070,2025-02-28,04:59,Little Rock,Campos Groves,34.7465,-92.2896,Burglary,1,0,No Arrest,Medium
C1071,2023-06-17,17:51,Dallas,Williams Vista,32.7767,-96.797,Theft,1,1,Arrest Made,Low
C1072,2024-05-17,14:48,Houston,Smith Islands,29.7604,-95.3698,Fraud,1,0,No Arrest,Medium
C1073,2024-12-21,19:29,Tulsa,Anthony Rapids,36.15398,-95.99277,Burglary,1,2,Arrest Made,Medium
C1074,2023-08-30,02:19,Oklahoma City,Mercado Centers,35.4676,-97.5164,Assault,1,1,Arrest Made,Medium
C1075,2023-11-18,13:51,Houston,Tiffany Island,29.7604,-95.3698,Robbery,1,0,No Arrest,High
C1076,2023-07-08,11:46,Tulsa,Dean Stravenue,36.15398,-95.99277,Robbery,1,2,Arrest Made,High
C1077,2024-07-22,22:31,Oklahoma City,Lopez Pike,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low
C1078,2024-09-16,10:53,Tulsa,Richard Isle,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low
C1079,2024-10-14,04:42,Dallas,David Meadows,32.7767,-96.797,Drug Offense,1,2,Arrest Made,Medium
C1080,2025-02-13,01:12,Dallas,Jason Loaf,32.7767,-96.797,Theft,1,2,Arrest Made,Low
C1081,2023-09-19,21:03,Kansas City,Christopher Pines,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1082,2023-11-02,02:45,Dallas,Matthews Islands,32.7767,-96.797,Burglary,1,0,No Arrest,Medium
C1083,2024-02-26,20:02,Houston,Hubbard Summit,29.7604,-95.3698,Homicide,1,1,Arrest Made,High
C1084,2025-04-30,00:10,Austin,Johnson Mountain,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1085,2025-03-23,22:19,Kansas City,Wendy Manor,39.0997,-94.5786,Robbery,1,0,No Arrest,High
C1086,2023-11-12,04:50,Little Rock,Mclaughlin Parkways,34.7465,-92.2896,Drug Offense,1,2,Arrest Made,Medium
C1087,2023-12-26,22:59,San Antonio,Jennifer Street,29.4241,-98.4936,Fraud,1,2,Arrest Made,Medium
C1088,2024-03-18,02:24,Oklahoma City,Foster Landing,35.4676,-97.5164,Fraud,1,2,Arrest Made,Medium
C1089,2024-05-05,03:01,Kansas City,Andrew Knoll,39.0997,-94.5786,Burglary,1,0,No Arrest,Medium
C1090,2023-09-04,02:57,Houston,Obrien Inlet,29.7604,-95.3698,Robbery,1,0,No Arrest,High
C1091,2023-10-12,23:54,Kansas City,Sharon Center,39.0997,-94.5786,Drug Offense,1,1,Arrest Made,Medium
C1092,2024-04-03,13:47,Oklahoma City,Taylor Flats,35.4676,-97.5164,Fraud,1,2,Arrest Made,Medium
C1093,2023-12-22,19:45,Little Rock,Weber Meadow,34.7465,-92.2896,Assault,1,0,No Arrest,Medium
C1094,2023-06-28,07:41,Dallas,Nathan Spurs,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low
C1095,2024-08-01,12:20,Little Rock,Mcdonald Cliffs,34.7465,-92.2896,Vandalism,1,0,No Arrest,Low
C1096,2023-10-14,17:00,Austin,Donovan Parkway,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low
C1097,2025-05-26,09:59,Austin,Palmer Cape,30.2672,-97.7431,Robbery,1,1,Arrest Made,High
C1098,2024-02-06,13:41,Dallas,Ray Radial,32.7767,-96.797,Robbery,1,0,No Arrest,High
C1099,2024-12-14,18:03,Oklahoma City,Johnson Shores,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1100,2023-06-11,16:42,San Antonio,Higgins Expressway,29.4241,-98.4936,Assault,1,1,Arrest Made,Medium
C1101,2024-09-01,01:41,Little Rock,White Ports,34.7465,-92.2896,Drug Offense,1,0,No Arrest,Medium
C1102,2025-03-03,05:38,Oklahoma City,Watson Avenue,35.4676,-97.5164,Theft,1,2,Arrest Made,Low
C1103,2025-04-16,05:11,San Antonio,Lane Forges,29.4241,-98.4936,Fraud,1,1,Arrest Made,Medium
C1104,2025-03-01,17:22,Oklahoma City,Elaine Park,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low
C1105,2023-08-13,09:09,San Antonio,Morris Alley,29.4241,-98.4936,Fraud,1,0,No Arrest,Medium
C1106,2024-04-25,08:40,Houston,Olson Mountains,29.7604,-95.3698,Robbery,1,2,Arrest Made,High
C1107,2025-01-02,12:03,Houston,Gates Coves,29.7604,-95.3698,Assault,1,0,No Arrest,Medium
C1108,2025-05-02,20:05,Austin,Amanda Fields,30.2672,-97.7431,Theft,1,0,No Arrest,Low
C1109,2023-10-03,06:32,San Antonio,Jason Point,29.4241,-98.4936,Drug Offense,1,0,No Arrest,Medium
C1110,2023-10-24,00:28,Tulsa,Karen Village,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1111,2024-07-27,21:18,Austin,David Lights,30.2672,-97.7431,Assault,1,1,Arrest Made,Medium
C1112,2023-07-23,09:24,Dallas,Melissa Dam,32.7767,-96.797,Robbery,1,0,No Arrest,High
C1113,2025-05-07,21:31,Oklahoma City,Evans Rue,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1114,2024-10-01,14:15,Austin,Jennifer Shoals,30.2672,-97.7431,Vandalism,1,0,No Arrest,Low
C1115,2024-04-28,02:31,San Antonio,Robert Islands,29.4241,-98.4936,Assault,1,1,Arrest Made,Medium
C1116,2025-03-19,20:46,Oklahoma City,Anthony Dale,35.4676,-97.5164,Vandalism,1,0,No Arrest,Low
C1117,2024-07-25,04:30,Dallas,Sharon Crossing,32.7767,-96.797,Vandalism,1,0,No Arrest,Low
C1118,2024-03-16,16:11,Kansas City,Wong Rest,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium
C1119,2024-03-30,23:56,Oklahoma City,Elizabeth Center,35.4676,-97.5164,Vandalism,1,2,Arrest Made,Low
C1120,2025-04-11,00:39,Oklahoma City,Matthew Ways,35.4676,-97.5164,Assault,1,1,Arrest Made,Medium
C1121,2025-01-02,00:38,San Antonio,Dixon Inlet,29.4241,-98.4936,Fraud,1,0,No Arrest,Medium
C1122,2025-04-10,18:29,Austin,Robert Mount,30.2672,-97.7431,Theft,1,0,No Arrest,Low
C1123,2025-03-23,15:51,Little Rock,Julie Brook,34.7465,-92.2896,Vandalism,1,1,Arrest Made,Low
C1124,2024-11-10,10:25,Austin,Bowers Burg,30.2672,-97.7431,Fraud,1,1,Arrest Made,Medium
C1125,2024-01-08,05:35,Oklahoma City,Griffith Trafficway,35.4676,-97.5164,Assault,1,1,Arrest Made,Medium
C1126,2024-02-11,15:25,San Antonio,Tristan Rapid,29.4241,-98.4936,Burglary,1,0,No Arrest,Medium
C1127,2024-04-22,08:37,Tulsa,Daniel Stravenue,36.15398,-95.99277,Burglary,1,2,Arrest Made,Medium
C1128,2024-06-16,11:00,Kansas City,Dixon Shore,39.0997,-94.5786,Vandalism,1,2,Arrest Made,Low
C1129,2025-01-15,03:02,Tulsa,Robert Crest,36.15398,-95.99277,Burglary,1,0,No Arrest,Medium
C1130,2023-11-26,05:13,Kansas City,Monroe Path,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium
C1131,2023-11-21,14:31,Tulsa,Welch Fords,36.15398,-95.99277,Theft,1,2,Arrest Made,Low
C1132,2024-03-09,18:20,Kansas City,Victoria Prairie,39.0997,-94.5786,Fraud,1,0,No Arrest,Medium
C1133,2024-01-17,02:06,Oklahoma City,Foster Route,35.4676,-97.5164,Assault,1,2,Arrest Made,Medium
C1134,2023-11-11,09:38,Kansas City,Watkins Unions,39.0997,-94.5786,Theft,1,0,No Arrest,Low
C1135,2023-07-19,18:35,Little Rock,Carl Forks,34.7465,-92.2896,Robbery,1,1,Arrest Made,High
C1136,2025-05-14,22:24,Tulsa,Owens Summit,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low
C1137,2024-11-01,08:58,Kansas City,Ryan Squares,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium
C1138,2023-06-23,22:02,San Antonio,Evans Row,29.4241,-98.4936,Theft,1,2,Arrest Made,Low
C1139,2024-08-24,13:27,San Antonio,Wall Mountains,29.4241,-98.4936,Homicide,1,1,Arrest Made,High
C1140,2023-08-31,09:54,Kansas City,Michael Passage,39.0997,-94.5786,Vandalism,1,2,Arrest Made,Low
C1141,2025-01-03,13:22,San Antonio,Guerrero Harbors,29.4241,-98.4936,Theft,1,1,Arrest Made,Low
C1142,2023-09-11,14:21,Austin,Amy Wall,30.2672,-97.7431,Assault,1,0,No Arrest,Medium
C1143,2024-07-04,14:37,Houston,Andrew Mission,29.7604,-95.3698,Theft,1,2,Arrest Made,Low
C1144,2024-12-11,03:37,Oklahoma City,Darrell Fields,35.4676,-97.5164,Theft,1,1,Arrest Made,Low
C1145,2024-02-19,21:03,Oklahoma City,Tiffany Loop,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1146,2024-03-22,11:32,Kansas City,Brandon Loop,39.0997,-94.5786,Burglary,1,1,Arrest Made,Medium
C1147,2023-10-05,08:02,Kansas City,Estrada Canyon,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1148,2024-07-08,13:53,Oklahoma City,Alvarez Estates,35.4676,-97.5164,Assault,1,0,No Arrest,Medium
C1149,2024-12-21,17:34,Tulsa,Munoz Point,36.15398,-95.99277,Theft,1,0,No Arrest,Low
C1150,2024-02-09,22:18,Kansas City,Timothy Place,39.0997,-94.5786,Homicide,1,1,Arrest Made,High
C1151,2025-02-23,04:02,Austin,John Fork,30.2672,-97.7431,Assault,1,0,No Arrest,Medium
C1152,2025-05-23,00:28,Houston,Maynard Valley,29.7604,-95.3698,Homicide,1,1,Arrest Made,High
C1153,2025-04-12,12:13,Tulsa,Emily Forges,36.15398,-95.99277,Robbery,1,0,No Arrest,High
C1154,2024-01-19,02:31,Tulsa,Cook Road,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1155,2023-09-07,08:05,Austin,Adam Knolls,30.2672,-97.7431,Fraud,1,2,Arrest Made,Medium
C1156,2023-08-31,00:35,Kansas City,Allen Locks,39.0997,-94.5786,Burglary,1,0,No Arrest,Medium
C1157,2023-12-11,12:51,Houston,Martin Lane,29.7604,-95.3698,Drug Offense,1,0,No Arrest,Medium
C1158,2024-05-20,01:15,Austin,Johnson Common,30.2672,-97.7431,Theft,1,1,Arrest Made,Low
C1159,2024-10-26,15:25,Dallas,Maynard Junction,32.7767,-96.797,Burglary,1,2,Arrest Made,Medium
C1160,2024-04-26,14:27,Austin,Rhodes Shores,30.2672,-97.7431,Burglary,1,2,Arrest Made,Medium
C1161,2024-10-29,05:59,Austin,Jennifer Hills,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1162,2024-03-27,20:05,San Antonio,Huerta Turnpike,29.4241,-98.4936,Theft,1,2,Arrest Made,Low
C1163,2025-04-23,23:47,San Antonio,Barnes Ways,29.4241,-98.4936,Theft,1,0,No Arrest,Low
C1164,2024-11-14,11:39,Austin,Heather Walk,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1165,2024-03-27,12:41,Dallas,Mccall Circles,32.7767,-96.797,Drug Offense,1,0,No Arrest,Medium
C1166,2023-10-08,05:56,Austin,Lee Burg,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1167,2024-10-24,00:26,Oklahoma City,Murphy Circles,35.4676,-97.5164,Theft,1,2,Arrest Made,Low
C1168,2024-06-03,14:54,Dallas,Matthew Stravenue,32.7767,-96.797,Fraud,1,2,Arrest Made,Medium
C1169,2024-07-08,03:44,Oklahoma City,Lopez Mills,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1170,2023-07-12,06:55,Houston,Gerald Cliffs,29.7604,-95.3698,Fraud,1,2,Arrest Made,Medium
C1171,2024-06-06,04:32,Tulsa,Horton Pines,36.15398,-95.99277,Drug Offense,1,2,Arrest Made,Medium
C1172,2024-10-13,13:41,Houston,Randy Mountains,29.7604,-95.3698,Vandalism,1,1,Arrest Made,Low
C1173,2024-12-14,08:57,Houston,Anthony Spur,29.7604,-95.3698,Robbery,1,0,No Arrest,High
C1174,2024-10-01,17:12,Oklahoma City,Kevin Lakes,35.4676,-97.5164,Assault,1,0,No Arrest,Medium
C1175,2023-11-30,06:55,Dallas,Patricia Turnpike,32.7767,-96.797,Theft,1,0,No Arrest,Low
C1176,2025-03-17,03:34,Houston,Terrell Groves,29.7604,-95.3698,Robbery,1,0,No Arrest,High
C1177,2023-06-11,12:39,Little Rock,Lorraine Groves,34.7465,-92.2896,Robbery,1,1,Arrest Made,High
C1178,2023-06-23,14:35,Austin,Yu Crossroad,30.2672,-97.7431,Assault,1,0,No Arrest,Medium
C1179,2025-01-30,08:34,Austin,May Stream,30.2672,-97.7431,Robbery,1,1,Arrest Made,High
C1180,2023-07-15,23:25,Little Rock,Gardner Bypass,34.7465,-92.2896,Theft,1,1,Arrest Made,Low
C1181,2023-07-11,00:13,Tulsa,Brittany Trace,36.15398,-95.99277,Robbery,1,2,Arrest Made,High
C1182,2024-03-24,22:58,Tulsa,Regina Lodge,36.15398,-95.99277,Burglary,1,0,No Arrest,Medium
C1183,2025-04-12,22:15,Dallas,Williams Light,32.7767,-96.797,Burglary,1,1,Arrest Made,Medium
C1184,2023-06-16,05:13,Dallas,Ryan Garden,32.7767,-96.797,Assault,1,0,No Arrest,Medium
C1185,2024-07-17,12:58,Houston,Gray Burg,29.7604,-95.3698,Assault,1,2,Arrest Made,Medium
C1186,2025-04-01,09:41,Dallas,Nathan Point,32.7767,-96.797,Robbery,1,1,Arrest Made,High
C1187,2024-10-11,15:45,Dallas,Boone Green,32.7767,-96.797,Drug Offense,1,0,No Arrest,Medium
C1188,2024-12-30,14:33,Austin,Pena Loop,30.2672,-97.7431,Theft,1,1,Arrest Made,Low
C1189,2025-02-04,14:11,Houston,Jenna Spurs,29.7604,-95.3698,Assault,1,0,No Arrest,Medium
C1190,2024-10-12,22:01,Kansas City,Hendrix Hills,39.0997,-94.5786,Drug Offense,1,1,Arrest Made,Medium
C1191,2024-11-22,03:07,Tulsa,Guzman Roads,36.15398,-95.99277,Assault,1,1,Arrest Made,Medium
C1192,2024-03-21,05:45,Kansas City,Huang Hills,39.0997,-94.5786,Burglary,1,1,Arrest Made,Medium
C1193,2023-07-20,17:15,Houston,Misty Plains,29.7604,-95.3698,Robbery,1,0,No Arrest,High
C1194,2025-05-05,15:21,San Antonio,Koch Mountain,29.4241,-98.4936,Fraud,1,1,Arrest Made,Medium
C1195,2024-01-15,05:48,Dallas,Rivera Ridges,32.7767,-96.797,Drug Offense,1,2,Arrest Made,Medium
C1196,2024-04-13,12:27,Houston,Morris Harbor,29.7604,-95.3698,Fraud,1,0,No Arrest,Medium
C1197,2023-07-25,12:43,Austin,Robert Shores,30.2672,-97.7431,Robbery,1,0,No Arrest,High
C1198,2024-04-17,00:57,Houston,Williamson Fort,29.7604,-95.3698,Robbery,1,2,Arrest Made,High
C1199,2025-05-22,00:20,Kansas City,Mary Turnpike,39.0997,-94.5786,Fraud,1,0,No Arrest,Medium
C1200,2023-09-16,13:38,Austin,Sheena Alley,30.2672,-97.7431,Fraud,1,1,Arrest Made,Medium
C1201,2023-11-20,20:12,Houston,Douglas Grove,29.7604,-95.3698,Robbery,1,1,Arrest Made,High
C1202,2025-05-28,11:08,San Antonio,Mitchell Street,29.4241,-98.4936,Homicide,1,1,Arrest Made,High
C1203,2025-06-05,00:19,Tulsa,Kathy Plaza,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low
C1204,2025-05-31,16:19,Dallas,Stephens Keys,32.7767,-96.797,Burglary,1,0,No Arrest,Medium
C1205,2024-04-02,13:01,Oklahoma City,Daniel Cliff,35.4676,-97.5164,Homicide,1,1,Arrest Made,High
C1206,2024-08-18,10:59,Tulsa,Lawrence Corner,36.15398,-95.99277,Vandalism,1,1,Arrest Made,Low
C1207,2024-07-01,03:52,Houston,Keith Pass,29.7604,-95.3698,Homicide,1,1,Arrest Made,High
C1208,2024-02-12,20:09,Little Rock,Christine Fork,34.7465,-92.2896,Homicide,1,1,Arrest Made,High
C1209,2024-08-21,06:09,Houston,Brandi Mills,29.7604,-95.3698,Drug Offense,1,0,No Arrest,Medium
C1210,2024-10-24,16:41,San Antonio,Jeremy Row,29.4241,-98.4936,Assault,1,2,Arrest Made,Medium
C1211,2023-06-24,15:50,Austin,Samantha Summit,30.2672,-97.7431,Burglary,1,0,No Arrest,Medium
C1212,2023-09-14,10:06,Dallas,Rodriguez Route,32.7767,-96.797,Burglary,1,2,Arrest Made,Medium
C1213,2023-09-25,20:50,San Antonio,John Circle,29.4241,-98.4936,Fraud,1,2,Arrest Made,Medium
C1214,2023-06-13,16:38,Tulsa,Rodriguez Ranch,36.15398,-95.99277,Theft,1,1,Arrest Made,Low
C1215,2025-02-04,00:09,Dallas,Shaw Union,32.7767,-96.797,Theft,1,1,Arrest Made,Low
C1216,2025-03-19,13:20,San Antonio,Richard Run,29.4241,-98.4936,Burglary,1,2,Arrest Made,Medium
C1217,2024-10-11,07:29,Houston,Perkins Points,29.7604,-95.3698,Assault,1,0,No Arrest,Medium
C1218,2024-09-27,21:09,Austin,Anderson Station,30.2672,-97.7431,Theft,1,0,No Arrest,Low
C1219,2023-06-20,21:31,Tulsa,Clark Pike,36.15398,-95.99277,Assault,1,2,Arrest Made,Medium
C1220,2023-12-14,02:31,Tulsa,Davis Mountains,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1221,2025-04-07,01:04,Little Rock,Elizabeth Fords,34.7465,-92.2896,Theft,1,2,Arrest Made,Low
C1222,2024-02-27,10:07,Kansas City,Jason Plaza,39.0997,-94.5786,Robbery,1,0,No Arrest,High
C1223,2024-08-11,12:50,Tulsa,Natalie Expressway,36.15398,-95.99277,Assault,1,2,Arrest Made,Medium
C1224,2023-11-28,18:56,Austin,Webb Brooks,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1225,2024-10-05,08:22,Little Rock,Jose Unions,34.7465,-92.2896,Robbery,1,1,Arrest Made,High
C1226,2024-06-14,00:01,Tulsa,Johnson Extensions,36.15398,-95.99277,Homicide,1,1,Arrest Made,High
C1227,2023-07-15,05:25,Austin,David Ramp,30.2672,-97.7431,Homicide,1,1,Arrest Made,High
C1228,2024-04-23,13:15,Dallas,Johnson Lodge,32.7767,-96.797,Vandalism,1,2,Arrest Made,Low
C1229,2024-01-10,16:45,Kansas City,Jesse Plaza,39.0997,-94.5786,Assault,1,1,Arrest Made,Medium
C1230,2025-05-29,21:11,San Antonio,Elliott Throughway,29.4241,-98.4936,Vandalism,1,1,Arrest Made,Low
C1231,2025-05-28,19:16,Oklahoma City,Garrett Ports,35.4676,-97.5164,Vandalism,1,2,Arrest Made,Low
C1232,2024-09-12,05:23,Dallas,Green Circles,32.7767,-96.797,Theft,1,2,Arrest Made,Low
C1233,2024-03-24,19:51,Dallas,Owens Mission,32.7767,-96.797,Homicide,1,1,Arrest Made,High
C1234,2025-03-27,14:57,Kansas City,Brown Knolls,39.0997,-94.5786,Robbery,1,2,Arrest Made,High
C1235,2023-08-24,19:50,Tulsa,Ashley Locks,36.15398,-95.99277,Drug Offense,1,2,Arrest Made,Medium
C1236,2023-12-31,03:19,Kansas City,Jason Glens,39.0997,-94.5786,Vandalism,1,0,No Arrest,Low
C1237,2024-08-29,10:22,Tulsa,Christine Mount,36.15398,-95.99277,Theft,1,0,No Arrest,Low
C1238,2023-12-21,17:26,Little Rock,Donald Branch,34.7465,-92.2896,Assault,1,2,Arrest Made,Medium
