Crime ID,Date,Time,City,Location,Crime Type,Severity,Arrest Made,Number of Arrests,Hour,DOW,TimeBlock,Cluster
C1074,2023-08-30,02:19,Oklahoma City,Mercado Centers,Assault,Medium,Arrest Made,1,2,Wednesday,Night,1
C1075,2023-11-18,13:51,Houston,Tiffany Island,Robbery,High,No Arrest,0,13,Saturday,Afternoon,1
C1076,2023-07-08,11:46,Tulsa,Dean Stravenue,Robbery,High,Arrest Made,2,11,Saturday,Morning,0
C1077,2024-07-22,22:31,Oklahoma City,Lopez Pike,Vandalism,Low,Arrest Made,1,22,Monday,Night,1
C1078,2024-09-16,10:53,Tulsa,Richard Isle,Vandalism,Low,Arrest Made,2,10,Monday,Morning,0
C1079,2024-10-14,04:42,Dallas,David Meadows,Drug Offense,Medium,Arrest Made,2,4,Monday,Night,1
C1080,2025-02-13,01:12,Dallas,Jason Loaf,Theft,Low,Arrest Made,2,1,Thursday,Night,1
C1081,2023-09-19,21:03,Kansas City,Christopher Pines,Homicide,High,Arrest Made,1,21,Tuesday,Night,0
C1082,2023-11-02,02:45,Dallas,Matthews Islands,Burglary,Medium,No Arrest,0,2,Thursday,Night,1
C1083,2024-02-26,20:02,Houston,Hubbard Summit,Homicide,High,Arrest Made,1,20,Monday,Evening,1
C1084,2025-04-30,00:10,Austin,Johnson Mountain,Homicide,High,Arrest Made,1,0,Wednesday,Night,1
C1085,2025-03-23,22:19,Kansas City,Wendy Manor,Robbery,High,No Arrest,0,22,Sunday,Night,0
C1086,2023-11-12,04:50,Little Rock,Mclaughlin Parkways,Drug Offense,Medium,Arrest Made,2,4,Sunday,Night,0
C1087,2023-12-26,22:59,San Antonio,Jennifer Street,Fraud,Medium,Arrest Made,2,22,Tuesday,Night,1
C1088,2024-03-18,02:24,Oklahoma City,Foster Landing,Fraud,Medium,Arrest Made,2,2,Monday,Night,1
C1089,2024-05-05,03:01,Kansas City,Andrew Knoll,Burglary,Medium,No Arrest,0,3,Sunday,Night,0
C1090,2023-09-04,02:57,Houston,Obrien Inlet,Robbery,High,No Arrest,0,2,Monday,Night,1
C1091,2023-10-12,23:54,Kansas City,Sharon Center,Drug Offense,Medium,Arrest Made,1,23,Thursday,Night,0
C1092,2024-04-03,13:47,Oklahoma City,Taylor Flats,Fraud,Medium,Arrest Made,2,13,Wednesday,Afternoon,1
C1093,2023-12-22,19:45,Little Rock,Weber Meadow,Assault,Medium,No Arrest,0,19,Friday,Evening,0
C1094,2023-06-28,07:41,Dallas,Nathan Spurs,Vandalism,Low,Arrest Made,1,7,Wednesday,Morning,1
C1095,2024-08-01,12:20,Little Rock,Mcdonald Cliffs,Vandalism,Low,No Arrest,0,12,Thursday,Afternoon,0
C1096,2023-10-14,17:00,Austin,Donovan Parkway,Vandalism,Low,Arrest Made,1,17,Saturday,Evening,1
C1097,2025-05-26,09:59,Austin,Palmer Cape,Robbery,High,Arrest Made,1,9,Monday,Morning,1
C1098,2024-02-06,13:41,Dallas,Ray Radial,Robbery,High,No Arrest,0,13,Tuesday,Afternoon,1
C1099,2024-12-14,18:03,Oklahoma City,Johnson Shores,Homicide,High,Arrest Made,1,18,Saturday,Evening,1
C1100,2023-06-11,16:42,San Antonio,Higgins Expressway,Assault,Medium,Arrest Made,1,16,Sunday,Afternoon,1
C1101,2024-09-01,01:41,Little Rock,White Ports,Drug Offense,Medium,No Arrest,0,1,Sunday,Night,0
C1102,2025-03-03,05:38,Oklahoma City,Watson Avenue,Theft,Low,Arrest Made,2,5,Monday,Morning,1
C1103,2025-04-16,05:11,San Antonio,Lane Forges,Fraud,Medium,Arrest Made,1,5,Wednesday,Morning,1
C1104,2025-03-01,17:22,Oklahoma City,Elaine Park,Vandalism,Low,Arrest Made,1,17,Saturday,Evening,1
C1105,2023-08-13,09:09,San Antonio,Morris Alley,Fraud,Medium,No Arrest,0,9,Sunday,Morning,1
C1106,2024-04-25,08:40,Houston,Olson Mountains,Robbery,High,Arrest Made,2,8,Thursday,Morning,1
C1107,2025-01-02,12:03,Houston,Gates Coves,Assault,Medium,No Arrest,0,12,Thursday,Afternoon,1
C1108,2025-05-02,20:05,Austin,Amanda Fields,Theft,Low,No Arrest,0,20,Friday,Evening,1
C1109,2023-10-03,06:32,San Antonio,Jason Point,Drug Offense,Medium,No Arrest,0,6,Tuesday,Morning,1
C1110,2023-10-24,00:28,Tulsa,Karen Village,Homicide,High,Arrest Made,1,0,Tuesday,Night,0
C1111,2024-07-27,21:18,Austin,David Lights,Assault,Medium,Arrest Made,1,21,Saturday,Night,1
C1112,2023-07-23,09:24,Dallas,Melissa Dam,Robbery,High,No Arrest,0,9,Sunday,Morning,1
C1113,2025-05-07,21:31,Oklahoma City,Evans Rue,Homicide,High,Arrest Made,1,21,Wednesday,Night,1
C1114,2024-10-01,14:15,Austin,Jennifer Shoals,Vandalism,Low,No Arrest,0,14,Tuesday,Afternoon,1
C1115,2024-04-28,02:31,San Antonio,Robert Islands,Assault,Medium,Arrest Made,1,2,Sunday,Night,1
C1116,2025-03-19,20:46,Oklahoma City,Anthony Dale,Vandalism,Low,No Arrest,0,20,Wednesday,Evening,1
C1117,2024-07-25,04:30,Dallas,Sharon Crossing,Vandalism,Low,No Arrest,0,4,Thursday,Night,1
C1118,2024-03-16,16:11,Kansas City,Wong Rest,Drug Offense,Medium,Arrest Made,2,16,Saturday,Afternoon,0
C1119,2024-03-30,23:56,Oklahoma City,Elizabeth Center,Vandalism,Low,Arrest Made,2,23,Saturday,Night,1
C1120,2025-04-11,00:39,Oklahoma City,Matthew Ways,Assault,Medium,Arrest Made,1,0,Friday,Night,1
C1121,2025-01-02,00:38,San Antonio,Dixon Inlet,Fraud,Medium,No Arrest,0,0,Thursday,Night,1
C1122,2025-04-10,18:29,Austin,Robert Mount,Theft,Low,No Arrest,0,18,Thursday,Evening,1
C1123,2025-03-23,15:51,Little Rock,Julie Brook,Vandalism,Low,Arrest Made,1,15,Sunday,Afternoon,0
C1124,2024-11-10,10:25,Austin,Bowers Burg,Fraud,Medium,Arrest Made,1,10,Sunday,Morning,1
C1125,2024-01-08,05:35,Oklahoma City,Griffith Trafficway,Assault,Medium,Arrest Made,1,5,Monday,Morning,1
C1126,2024-02-11,15:25,San Antonio,Tristan Rapid,Burglary,Medium,No Arrest,0,15,Sunday,Afternoon,1
C1127,2024-04-22,08:37,Tulsa,Daniel Stravenue,Burglary,Medium,Arrest Made,2,8,Monday,Morning,0
C1128,2024-06-16,11:00,Kansas City,Dixon Shore,Vandalism,Low,Arrest Made,2,11,Sunday,Morning,0
C1129,2025-01-15,03:02,Tulsa,Robert Crest,Burglary,Medium,No Arrest,0,3,Wednesday,Night,0
C1130,2023-11-26,05:13,Kansas City,Monroe Path,Drug Offense,Medium,Arrest Made,2,5,Sunday,Morning,0
C1131,2023-11-21,14:31,Tulsa,Welch Fords,Theft,Low,Arrest Made,2,14,Tuesday,Afternoon,0
C1132,2024-03-09,18:20,Kansas City,Victoria Prairie,Fraud,Medium,No Arrest,0,18,Saturday,Evening,0
C1133,2024-01-17,02:06,Oklahoma City,Foster Route,Assault,Medium,Arrest Made,2,2,Wednesday,Night,1
C1134,2023-11-11,09:38,Kansas City,Watkins Unions,Theft,Low,No Arrest,0,9,Saturday,Morning,0
C1135,2023-07-19,18:35,Little Rock,Carl Forks,Robbery,High,Arrest Made,1,18,Wednesday,Evening,0
C1136,2025-05-14,22:24,Tulsa,Owens Summit,Vandalism,Low,Arrest Made,2,22,Wednesday,Night,0
C1137,2024-11-01,08:58,Kansas City,Ryan Squares,Drug Offense,Medium,Arrest Made,2,8,Friday,Morning,0
C1138,2023-06-23,22:02,San Antonio,Evans Row,Theft,Low,Arrest Made,2,22,Friday,Night,1
C1139,2024-08-24,13:27,San Antonio,Wall Mountains,Homicide,High,Arrest Made,1,13,Saturday,Afternoon,1
C1140,2023-08-31,09:54,Kansas City,Michael Passage,Vandalism,Low,Arrest Made,2,9,Thursday,Morning,0
C1141,2025-01-03,13:22,San Antonio,Guerrero Harbors,Theft,Low,Arrest Made,1,13,Friday,Afternoon,1
C1142,2023-09-11,14:21,Austin,Amy Wall,Assault,Medium,No Arrest,0,14,Monday,Afternoon,1
C1143,2024-07-04,14:37,Houston,Andrew Mission,Theft,Low,Arrest Made,2,14,Thursday,Afternoon,1
C1144,2024-12-11,03:37,Oklahoma City,Darrell Fields,Theft,Low,Arrest Made,1,3,Wednesday,Night,1
C1145,2024-02-19,21:03,Oklahoma City,Tiffany Loop,Homicide,High,Arrest Made,1,21,Monday,Night,1
C1146,2024-03-22,11:32,Kansas City,Brandon Loop,Burglary,Medium,Arrest Made,1,11,Friday,Morning,0
C1147,2023-10-05,08:02,Kansas City,Estrada Canyon,Homicide,High,Arrest Made,1,8,Thursday,Morning,0
C1148,2024-07-08,13:53,Oklahoma City,Alvarez Estates,Assault,Medium,No Arrest,0,13,Monday,Afternoon,1
C1149,2024-12-21,17:34,Tulsa,Munoz Point,Theft,Low,No Arrest,0,17,Saturday,Evening,0
C1150,2024-02-09,22:18,Kansas City,Timothy Place,Homicide,High,Arrest Made,1,22,Friday,Night,0
C1151,2025-02-23,04:02,Austin,John Fork,Assault,Medium,No Arrest,0,4,Sunday,Night,1
C1152,2025-05-23,00:28,Houston,Maynard Valley,Homicide,High,Arrest Made,1,0,Friday,Night,1
C1153,2025-04-12,12:13,Tulsa,Emily Forges,Robbery,High,No Arrest,0,12,Saturday,Afternoon,0
C1154,2024-01-19,02:31,Tulsa,Cook Road,Homicide,High,Arrest Made,1,2,Friday,Night,0
C1155,2023-09-07,08:05,Austin,Adam Knolls,Fraud,Medium,Arrest Made,2,8,Thursday,Morning,1
C1156,2023-08-31,00:35,Kansas City,Allen Locks,Burglary,Medium,No Arrest,0,0,Thursday,Night,0
C1157,2023-12-11,12:51,Houston,Martin Lane,Drug Offense,Medium,No Arrest,0,12,Monday,Afternoon,1
C1158,2024-05-20,01:15,Austin,Johnson Common,Theft,Low,Arrest Made,1,1,Monday,Night,1
C1159,2024-10-26,15:25,Dallas,Maynard Junction,Burglary,Medium,Arrest Made,2,15,Saturday,Afternoon,1
C1160,2024-04-26,14:27,Austin,Rhodes Shores,Burglary,Medium,Arrest Made,2,14,Friday,Afternoon,1
C1161,2024-10-29,05:59,Austin,Jennifer Hills,Homicide,High,Arrest Made,1,5,Tuesday,Morning,1
C1162,2024-03-27,20:05,San Antonio,Huerta Turnpike,Theft,Low,Arrest Made,2,20,Wednesday,Evening,1
C1163,2025-04-23,23:47,San Antonio,Barnes Ways,Theft,Low,No Arrest,0,23,Wednesday,Night,1
C1164,2024-11-14,11:39,Austin,Heather Walk,Homicide,High,Arrest Made,1,11,Thursday,Morning,1
C1165,2024-03-27,12:41,Dallas,Mccall Circles,Drug Offense,Medium,No Arrest,0,12,Wednesday,Afternoon,1
C1166,2023-10-08,05:56,Austin,Lee Burg,Homicide,High,Arrest Made,1,5,Sunday,Morning,1
C1167,2024-10-24,00:26,Oklahoma City,Murphy Circles,Theft,Low,Arrest Made,2,0,Thursday,Night,1
C1168,2024-06-03,14:54,Dallas,Matthew Stravenue,Fraud,Medium,Arrest Made,2,14,Monday,Afternoon,1
C1169,2024-07-08,03:44,Oklahoma City,Lopez Mills,Homicide,High,Arrest Made,1,3,Monday,Night,1
C1170,2023-07-12,06:55,Houston,Gerald Cliffs,Fraud,Medium,Arrest Made,2,6,Wednesday,Morning,1
C1171,2024-06-06,04:32,Tulsa,Horton Pines,Drug Offense,Medium,Arrest Made,2,4,Thursday,Night,0
C1172,2024-10-13,13:41,Houston,Randy Mountains,Vandalism,Low,Arrest Made,1,13,Sunday,Afternoon,1
C1173,2024-12-14,08:57,Houston,Anthony Spur,Robbery,High,No Arrest,0,8,Saturday,Morning,1
C1174,2024-10-01,17:12,Oklahoma City,Kevin Lakes,Assault,Medium,No Arrest,0,17,Tuesday,Evening,1
C1175,2023-11-30,06:55,Dallas,Patricia Turnpike,Theft,Low,No Arrest,0,6,Thursday,Morning,1
C1176,2025-03-17,03:34,Houston,Terrell Groves,Robbery,High,No Arrest,0,3,Monday,Night,1
C1177,2023-06-11,12:39,Little Rock,Lorraine Groves,Robbery,High,Arrest Made,1,12,Sunday,Afternoon,0
C1178,2023-06-23,14:35,Austin,Yu Crossroad,Assault,Medium,No Arrest,0,14,Friday,Afternoon,1
C1179,2025-01-30,08:34,Austin,May Stream,Robbery,High,Arrest Made,1,8,Thursday,Morning,1
C1180,2023-07-15,23:25,Little Rock,Gardner Bypass,Theft,Low,Arrest Made,1,23,Saturday,Night,0
C1181,2023-07-11,00:13,Tulsa,Brittany Trace,Robbery,High,Arrest Made,2,0,Tuesday,Night,0
C1182,2024-03-24,22:58,Tulsa,Regina Lodge,Burglary,Medium,No Arrest,0,22,Sunday,Night,0
C1183,2025-04-12,22:15,Dallas,Williams Light,Burglary,Medium,Arrest Made,1,22,Saturday,Night,1
C1184,2023-06-16,05:13,Dallas,Ryan Garden,Assault,Medium,No Arrest,0,5,Friday,Morning,1
C1185,2024-07-17,12:58,Houston,Gray Burg,Assault,Medium,Arrest Made,2,12,Wednesday,Afternoon,1
C1186,2025-04-01,09:41,Dallas,Nathan Point,Robbery,High,Arrest Made,1,9,Tuesday,Morning,1
C1187,2024-10-11,15:45,Dallas,Boone Green,Drug Offense,Medium,No Arrest,0,15,Friday,Afternoon,1
C1188,2024-12-30,14:33,Austin,Pena Loop,Theft,Low,Arrest Made,1,14,Monday,Afternoon,1
C1189,2025-02-04,14:11,Houston,Jenna Spurs,Assault,Medium,No Arrest,0,14,Tuesday,Afternoon,1
C1190,2024-10-12,22:01,Kansas City,Hendrix Hills,Drug Offense,Medium,Arrest Made,1,22,Saturday,Night,0
C1191,2024-11-22,03:07,Tulsa,Guzman Roads,Assault,Medium,Arrest Made,1,3,Friday,Night,0
C1192,2024-03-21,05:45,Kansas City,Huang Hills,Burglary,Medium,Arrest Made,1,5,Thursday,Morning,0
C1193,2023-07-20,17:15,Houston,Misty Plains,Robbery,High,No Arrest,0,17,Thursday,Evening,1
C1194,2025-05-05,15:21,San Antonio,Koch Mountain,Fraud,Medium,Arrest Made,1,15,Monday,Afternoon,1
C1195,2024-01-15,05:48,Dallas,Rivera Ridges,Drug Offense,Medium,Arrest Made,2,5,Monday,Morning,1
C1196,2024-04-13,12:27,Houston,Morris Harbor,Fraud,Medium,No Arrest,0,12,Saturday,Afternoon,1
C1197,2023-07-25,12:43,Austin,Robert Shores,Robbery,High,No Arrest,0,12,Tuesday,Afternoon,1
C1198,2024-04-17,00:57,Houston,Williamson Fort,Robbery,High,Arrest Made,2,0,Wednesday,Night,1
C1199,2025-05-22,00:20,Kansas City,Mary Turnpike,Fraud,Medium,No Arrest,0,0,Thursday,Night,0
C1200,2023-09-16,13:38,Austin,Sheena Alley,Fraud,Medium,Arrest Made,1,13,Saturday,Afternoon,1
C1201,2023-11-20,20:12,Houston,Douglas Grove,Robbery,High,Arrest Made,1,20,Monday,Evening,1
C1202,2025-05-28,11:08,San Antonio,Mitchell Street,Homicide,High,Arrest Made,1,11,Wednesday,Morning,1
C1203,2025-06-05,00:19,Tulsa,Kathy Plaza,Vandalism,Low,Arrest Made,2,0,Thursday,Night,0
C1204,2025-05-31,16:19,Dallas,Stephens Keys,Burglary,Medium,No Arrest,0,16,Saturday,Afternoon,1
C1205,2024-04-02,13:01,Oklahoma City,Daniel Cliff,Homicide,High,Arrest Made,1,13,Tuesday,Afternoon,1
C1206,2024-08-18,10:59,Tulsa,Lawrence Corner,Vandalism,Low,Arrest Made,1,10,Sunday,Morning,0
C1207,2024-07-01,03:52,Houston,Keith Pass,Homicide,High,Arrest Made,1,3,Monday,Night,1
C1208,2024-02-12,20:09,Little Rock,Christine Fork,Homicide,High,Arrest Made,1,20,Monday,Evening,0
C1209,2024-08-21,06:09,Houston,Brandi Mills,Drug Offense,Medium,No Arrest,0,6,Wednesday,Morning,1
C1210,2024-10-24,16:41,San Antonio,Jeremy Row,Assault,Medium,Arrest Made,2,16,Thursday,Afternoon,1
C1211,2023-06-24,15:50,Austin,Samantha Summit,Burglary,Medium,No Arrest,0,15,Saturday,Afternoon,1
C1212,2023-09-14,10:06,Dallas,Rodriguez Route,Burglary,Medium,Arrest Made,2,10,Thursday,Morning,1
C1213,2023-09-25,20:50,San Antonio,John Circle,Fraud,Medium,Arrest Made,2,20,Monday,Evening,1
C1214,2023-06-13,16:38,Tulsa,Rodriguez Ranch,Theft,Low,Arrest Made,1,16,Tuesday,Afternoon,0
C1215,2025-02-04,00:09,Dallas,Shaw Union,Theft,Low,Arrest Made,1,0,Tuesday,Night,1
C1216,2025-03-19,13:20,San Antonio,Richard Run,Burglary,Medium,Arrest Made,2,13,Wednesday,Afternoon,1
C1217,2024-10-11,07:29,Houston,Perkins Points,Assault,Medium,No Arrest,0,7,Friday,Morning,1
C1218,2024-09-27,21:09,Austin,Anderson Station,Theft,Low,No Arrest,0,21,Friday,Night,1
C1219,2023-06-20,21:31,Tulsa,Clark Pike,Assault,Medium,Arrest Made,2,21,Tuesday,Night,0
C1220,2023-12-14,02:31,Tulsa,Davis Mountains,Homicide,High,Arrest Made,1,2,Thursday,Night,0
C1221,2025-04-07,01:04,Little Rock,Elizabeth Fords,Theft,Low,Arrest Made,2,1,Monday,Night,0
C1222,2024-02-27,10:07,Kansas City,Jason Plaza,Robbery,High,No Arrest,0,10,Tuesday,Morning,0
C1223,2024-08-11,12:50,Tulsa,Natalie Expressway,Assault,Medium,Arrest Made,2,12,Sunday,Afternoon,0
C1224,2023-11-28,18:56,Austin,Webb Brooks,Homicide,High,Arrest Made,1,18,Tuesday,Evening,1
C1225,2024-10-05,08:22,Little Rock,Jose Unions,Robbery,High,Arrest Made,1,8,Saturday,Morning,0
C1226,2024-06-14,00:01,Tulsa,Johnson Extensions,Homicide,High,Arrest Made,1,0,Friday,Night,0
C1227,2023-07-15,05:25,Austin,David Ramp,Homicide,High,Arrest Made,1,5,Saturday,Morning,1
C1228,2024-04-23,13:15,Dallas,Johnson Lodge,Vandalism,Low,Arrest Made,2,13,Tuesday,Afternoon,1
C1229,2024-01-10,16:45,Kansas City,Jesse Plaza,Assault,Medium,Arrest Made,1,16,Wednesday,Afternoon,0
C1230,2025-05-29,21:11,San Antonio,Elliott Throughway,Vandalism,Low,Arrest Made,1,21,Thursday,Night,1
C1231,2025-05-28,19:16,Oklahoma City,Garrett Ports,Vandalism,Low,Arrest Made,2,19,Wednesday,Evening,1
C1232,2024-09-12,05:23,Dallas,Green Circles,Theft,Low,Arrest Made,2,5,Thursday,Morning,1
C1233,2024-03-24,19:51,Dallas,Owens Mission,Homicide,High,Arrest Made,1,19,Sunday,Evening,1
C1234,2025-03-27,14:57,Kansas City,Brown Knolls,Robbery,High,Arrest Made,2,14,Thursday,Afternoon,0
C1235,2023-08-24,19:50,Tulsa,Ashley Locks,Drug Offense,Medium,Arrest Made,2,19,Thursday,Evening,0
C1236,2023-12-31,03:19,Kansas City,Jason Glens,Vandalism,Low,No Arrest,0,3,Sunday,Night,0
C1237,2024-08-29,10:22,Tulsa,Christine Mount,Theft,Low,No Arrest,0,10,Thursday,Morning,0
