Crime ID,Date,Time,City,Location,Latitude,Longitude,Crime Type,Number of Crimes,Number of Arrests,Arrest Made,Severity,Hour,Minute,Year,Month,MonthName,DOW,DOW_num,YearMonth,IsWeekend,TimeBlock,ArrestFlag,SeverityOrd
C1085,2025-03-23,22:19,Kansas City,Wendy Manor,39.0997,-94.5786,Robbery,1,0,No Arrest,High,22,19,2025,3,Mar,Sunday,6,2025-03,True,Night,0,3
C1086,2023-11-12,04:50,Little Rock,Mclaughlin Parkways,34.7465,-92.2896,Drug Offense,1,2,Arrest Made,Medium,4,50,2023,11,Nov,Sunday,6,2023-11,True,Night,1,2
C1087,2023-12-26,22:59,San Antonio,Jennifer Street,29.4241,-98.4936,Fraud,1,2,Arrest Made,Medium,22,59,2023,12,Dec,Tuesday,1,2023-12,False,Night,1,2
C1088,2024-03-18,02:24,Oklahoma City,Foster Landing,35.4676,-97.5164,Fraud,1,2,Arrest Made,Medium,2,24,2024,3,Mar,Monday,0,2024-03,False,Night,1,2
C1089,2024-05-05,03:01,Kansas City,Andrew Knoll,39.0997,-94.5786,Burglary,1,0,No Arrest,Medium,3,1,2024,5,May,Sunday,6,2024-05,True,Night,0,2
C1090,2023-09-04,02:57,Houston,Obrien Inlet,29.7604,-95.3698,Robbery,1,0,No Arrest,High,2,57,2023,9,Sep,Monday,0,2023-09,False,Night,0,3
C1091,2023-10-12,23:54,Kansas City,Sharon Center,39.0997,-94.5786,Drug Offense,1,1,Arrest Made,Medium,23,54,2023,10,Oct,Thursday,3,2023-10,False,Night,1,2
C1092,2024-04-03,13:47,Oklahoma City,Taylor Flats,35.4676,-97.5164,Fraud,1,2,Arrest Made,Medium,13,47,2024,4,Apr,Wednesday,2,2024-04,False,Afternoon,1,2
C1093,2023-12-22,19:45,Little Rock,Weber Meadow,34.7465,-92.2896,Assault,1,0,No Arrest,Medium,19,45,2023,12,Dec,Friday,4,2023-12,False,Evening,0,2
C1094,2023-06-28,07:41,Dallas,Nathan Spurs,32.7767,-96.797,Vandalism,1,1,Arrest Made,Low,7,41,2023,6,Jun,Wednesday,2,2023-06,False,Morning,1,1
C1095,2024-08-01,12:20,Little Rock,Mcdonald Cliffs,34.7465,-92.2896,Vandalism,1,0,No Arrest,Low,12,20,2024,8,Aug,Thursday,3,2024-08,False,Afternoon,0,1
C1096,2023-10-14,17:00,Austin,Donovan Parkway,30.2672,-97.7431,Vandalism,1,1,Arrest Made,Low,17,0,2023,10,Oct,Saturday,5,2023-10,True,Evening,1,1
C1097,2025-05-26,09:59,Austin,Palmer Cape,30.2672,-97.7431,Robbery,1,1,Arrest Made,High,9,59,2025,5,May,Monday,0,2025-05,False,Morning,1,3
C1098,2024-02-06,13:41,Dallas,Ray Radial,32.7767,-96.797,Robbery,1,0,No Arrest,High,13,41,2024,2,Feb,Tuesday,1,2024-02,False,Afternoon,0,3
C1099,2024-12-14,18:03,Oklahoma City,Johnson Shores,35.4676,-97.5164,Homicide,1,1,Arrest Made,High,18,3,2024,12,Dec,Saturday,5,2024-12,True,Evening,1,3
C1100,2023-06-11,16:42,San Antonio,Higgins Expressway,29.4241,-98.4936,Assault,1,1,Arrest Made,Medium,16,42,2023,6,Jun,Sunday,6,2023-06,True,Afternoon,1,2
C1101,2024-09-01,01:41,Little Rock,White Ports,34.7465,-92.2896,Drug Offense,1,0,No Arrest,Medium,1,41,2024,9,Sep,Sunday,6,2024-09,True,Night,0,2
C1102,2025-03-03,05:38,Oklahoma City,Watson Avenue,35.4676,-97.5164,Theft,1,2,Arrest Made,Low,5,38,2025,3,Mar,Monday,0,2025-03,False,Morning,1,1
C1103,2025-04-16,05:11,San Antonio,Lane Forges,29.4241,-98.4936,Fraud,1,1,Arrest Made,Medium,5,11,2025,4,Apr,Wednesday,2,2025-04,False,Morning,1,2
C1104,2025-03-01,17:22,Oklahoma City,Elaine Park,35.4676,-97.5164,Vandalism,1,1,Arrest Made,Low,17,22,2025,3,Mar,Saturday,5,2025-03,True,Evening,1,1
C1105,2023-08-13,09:09,San Antonio,Morris Alley,29.4241,-98.4936,Fraud,1,0,No Arrest,Medium,9,9,2023,8,Aug,Sunday,6,2023-08,True,Morning,0,2
C1106,2024-04-25,08:40,Houston,Olson Mountains,29.7604,-95.3698,Robbery,1,2,Arrest Made,High,8,40,2024,4,Apr,Thursday,3,2024-04,False,Morning,1,3
C1107,2025-01-02,12:03,Houston,Gates Coves,29.7604,-95.3698,Assault,1,0,No Arrest,Medium,12,3,2025,1,Jan,Thursday,3,2025-01,False,Afternoon,0,2
C1108,2025-05-02,20:05,Austin,Amanda Fields,30.2672,-97.7431,Theft,1,0,No Arrest,Low,20,5,2025,5,May,Friday,4,2025-05,False,Evening,0,1
C1109,2023-10-03,06:32,San Antonio,Jason Point,29.4241,-98.4936,Drug Offense,1,0,No Arrest,Medium,6,32,2023,10,Oct,Tuesday,1,2023-10,False,Morning,0,2
C1110,2023-10-24,00:28,Tulsa,Karen Village,36.15398,-95.99277,Homicide,1,1,Arrest Made,High,0,28,2023,10,Oct,Tuesday,1,2023-10,False,Night,1,3
C1111,2024-07-27,21:18,Austin,David Lights,30.2672,-97.7431,Assault,1,1,Arrest Made,Medium,21,18,2024,7,Jul,Saturday,5,2024-07,True,Night,1,2
C1112,2023-07-23,09:24,Dallas,Melissa Dam,32.7767,-96.797,Robbery,1,0,No Arrest,High,9,24,2023,7,Jul,Sunday,6,2023-07,True,Morning,0,3
C1113,2025-05-07,21:31,Oklahoma City,Evans Rue,35.4676,-97.5164,Homicide,1,1,Arrest Made,High,21,31,2025,5,May,Wednesday,2,2025-05,False,Night,1,3
C1114,2024-10-01,14:15,Austin,Jennifer Shoals,30.2672,-97.7431,Vandalism,1,0,No Arrest,Low,14,15,2024,10,Oct,Tuesday,1,2024-10,False,Afternoon,0,1
C1115,2024-04-28,02:31,San Antonio,Robert Islands,29.4241,-98.4936,Assault,1,1,Arrest Made,Medium,2,31,2024,4,Apr,Sunday,6,2024-04,True,Night,1,2
C1116,2025-03-19,20:46,Oklahoma City,Anthony Dale,35.4676,-97.5164,Vandalism,1,0,No Arrest,Low,20,46,2025,3,Mar,Wednesday,2,2025-03,False,Evening,0,1
C1117,2024-07-25,04:30,Dallas,Sharon Crossing,32.7767,-96.797,Vandalism,1,0,No Arrest,Low,4,30,2024,7,Jul,Thursday,3,2024-07,False,Night,0,1
C1118,2024-03-16,16:11,Kansas City,Wong Rest,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium,16,11,2024,3,Mar,Saturday,5,2024-03,True,Afternoon,1,2
C1119,2024-03-30,23:56,Oklahoma City,Elizabeth Center,35.4676,-97.5164,Vandalism,1,2,Arrest Made,Low,23,56,2024,3,Mar,Saturday,5,2024-03,True,Night,1,1
C1120,2025-04-11,00:39,Oklahoma City,Matthew Ways,35.4676,-97.5164,Assault,1,1,Arrest Made,Medium,0,39,2025,4,Apr,Friday,4,2025-04,False,Night,1,2
C1121,2025-01-02,00:38,San Antonio,Dixon Inlet,29.4241,-98.4936,Fraud,1,0,No Arrest,Medium,0,38,2025,1,Jan,Thursday,3,2025-01,False,Night,0,2
C1122,2025-04-10,18:29,Austin,Robert Mount,30.2672,-97.7431,Theft,1,0,No Arrest,Low,18,29,2025,4,Apr,Thursday,3,2025-04,False,Evening,0,1
C1123,2025-03-23,15:51,Little Rock,Julie Brook,34.7465,-92.2896,Vandalism,1,1,Arrest Made,Low,15,51,2025,3,Mar,Sunday,6,2025-03,True,Afternoon,1,1
C1124,2024-11-10,10:25,Austin,Bowers Burg,30.2672,-97.7431,Fraud,1,1,Arrest Made,Medium,10,25,2024,11,Nov,Sunday,6,2024-11,True,Morning,1,2
C1125,2024-01-08,05:35,Oklahoma City,Griffith Trafficway,35.4676,-97.5164,Assault,1,1,Arrest Made,Medium,5,35,2024,1,Jan,Monday,0,2024-01,False,Morning,1,2
C1126,2024-02-11,15:25,San Antonio,Tristan Rapid,29.4241,-98.4936,Burglary,1,0,No Arrest,Medium,15,25,2024,2,Feb,Sunday,6,2024-02,True,Afternoon,0,2
C1127,2024-04-22,08:37,Tulsa,Daniel Stravenue,36.15398,-95.99277,Burglary,1,2,Arrest Made,Medium,8,37,2024,4,Apr,Monday,0,2024-04,False,Morning,1,2
C1128,2024-06-16,11:00,Kansas City,Dixon Shore,39.0997,-94.5786,Vandalism,1,2,Arrest Made,Low,11,0,2024,6,Jun,Sunday,6,2024-06,True,Morning,1,1
C1129,2025-01-15,03:02,Tulsa,Robert Crest,36.15398,-95.99277,Burglary,1,0,No Arrest,Medium,3,2,2025,1,Jan,Wednesday,2,2025-01,False,Night,0,2
C1130,2023-11-26,05:13,Kansas City,Monroe Path,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium,5,13,2023,11,Nov,Sunday,6,2023-11,True,Morning,1,2
C1131,2023-11-21,14:31,Tulsa,Welch Fords,36.15398,-95.99277,Theft,1,2,Arrest Made,Low,14,31,2023,11,Nov,Tuesday,1,2023-11,False,Afternoon,1,1
C1132,2024-03-09,18:20,Kansas City,Victoria Prairie,39.0997,-94.5786,Fraud,1,0,No Arrest,Medium,18,20,2024,3,Mar,Saturday,5,2024-03,True,Evening,0,2
C1133,2024-01-17,02:06,Oklahoma City,Foster Route,35.4676,-97.5164,Assault,1,2,Arrest Made,Medium,2,6,2024,1,Jan,Wednesday,2,2024-01,False,Night,1,2
C1134,2023-11-11,09:38,Kansas City,Watkins Unions,39.0997,-94.5786,Theft,1,0,No Arrest,Low,9,38,2023,11,Nov,Saturday,5,2023-11,True,Morning,0,1
C1135,2023-07-19,18:35,Little Rock,Carl Forks,34.7465,-92.2896,Robbery,1,1,Arrest Made,High,18,35,2023,7,Jul,Wednesday,2,2023-07,False,Evening,1,3
C1136,2025-05-14,22:24,Tulsa,Owens Summit,36.15398,-95.99277,Vandalism,1,2,Arrest Made,Low,22,24,2025,5,May,Wednesday,2,2025-05,False,Night,1,1
C1137,2024-11-01,08:58,Kansas City,Ryan Squares,39.0997,-94.5786,Drug Offense,1,2,Arrest Made,Medium,8,58,2024,11,Nov,Friday,4,2024-11,False,Morning,1,2
C1138,2023-06-23,22:02,San Antonio,Evans Row,29.4241,-98.4936,Theft,1,2,Arrest Made,Low,22,2,2023,6,Jun,Friday,4,2023-06,False,Night,1,1
C1139,2024-08-24,13:27,San Antonio,Wall Mountains,29.4241,-98.4936,Homicide,1,1,Arrest Made,High,13,27,2024,8,Aug,Saturday,5,2024-08,True,Afternoon,1,3
C1140,2023-08-31,09:54,Kansas City,Michael Passage,39.0997,-94.5786,Vandalism,1,2,Arrest Made,Low,9,54,2023,8,Aug,Thursday,3,2023-08,False,Morning,1,1
C1141,2025-01-03,13:22,San Antonio,Guerrero Harbors,29.4241,-98.4936,Theft,1,1,Arrest Made,Low,13,22,2025,1,Jan,Friday,4,2025-01,False,Afternoon,1,1
C1142,2023-09-11,14:21,Austin,Amy Wall,30.2672,-97.7431,Assault,1,0,No Arrest,Medium,14,21,2023,9,Sep,Monday,0,2023-09,False,Afternoon,0,2
C1143,2024-07-04,14:37,Houston,Andrew Mission,29.7604,-95.3698,Theft,1,2,Arrest Made,Low,14,37,2024,7,Jul,Thursday,3,2024-07,False,Afternoon,1,1
C1144,2024-12-11,03:37,Oklahoma City,Darrell Fields,35.4676,-97.5164,Theft,1,1,Arrest Made,Low,3,37,2024,12,Dec,Wednesday,2,2024-12,False,Night,1,1
C1145,2024-02-19,21:03,Oklahoma City,Tiffany Loop,35.4676,-97.5164,Homicide,1,1,Arrest Made,High,21,3,2024,2,Feb,Monday,0,2024-02,False,Night,1,3
C1146,2024-03-22,11:32,Kansas City,Brandon Loop,39.0997,-94.5786,Burglary,1,1,Arrest Made,Medium,11,32,2024,3,Mar,Friday,4,2024-03,False,Morning,1,2
C1147,2023-10-05,08:02,Kansas City,Estrada Canyon,39.0997,-94.5786,Homicide,1,1,Arrest Made,High,8,2,2023,10,Oct,Thursday,3,2023-10,False,Morning,1,3
